AROKATO;Nom;Etat2001;Dist2001;Longitude;Latitude;Stat_cap;Dist_Cap;Status U/R;Status D;1961;1981;1991;2001;2011
ARR1692401;Gandhidham;24;1;70.130885;23.066006;0;0;U;M;89135;108853;115497;170211;279975
ARR1703330;Nagercoil;33;30;77.42971;8.193792;0;0;U;M;151242;209716;233488;256871;279470
ARR171962;MaunathBhanjan;9;62;83.56;25.9482;0;1;U;M;62047;121660;136697;212657;279060
ARR1722822;Anantapur;28;22;77.6038;14.6776;0;1;U;M;98312;169504;183103;252298;276190
ARR1732320;Ratlam;23;20;75.038562;23.327367;0;1;U;M.CORP;85887;153852;195776;234419;273894
ARR1741029;Arrah;10;29;84.671515;25.564517;0;0;U;M;91077;159844;168022;213821;273596
ARR1752803;Karimnagar;28;3;79.1357;18.4352;0;1;U;M;51108;124880;156441;226791;271038
ARR47211907;Jangipur;19;7;88.062549;24.466841;0;0;U;TP;88239;146587;167650;208590;271026
ARR1772815;Eluru;28;15;81.107055;16.711796;0;0;U;M;145398;358914;251360;264205;270175
ARR1783303;Kancheepuram;33;3;79.7061;12.8324;0;1;U;M;118609;156447;198352;218378;269703
ARR1792302;Morena;23;2;78.0013;26.4973;0;1;U;M;108160;165908;174592;185294;265096
ARR1803313;Dindigul;33;13;77.972512;10.367097;0;1;U;M;109013;203291;227144;237482;262660
ARR182931;Etawah;9;31;79.021178;26.774997;0;1;U;M;70841;114710;126741;213116;259828
ARR1832424;Navsari;24;24;72.930181;20.94521;0;1;U;M;127551;234280;247746;249613;258961
ARR184813;Sikar;8;13;75.1498;27.619;0;1;U;M;81696;149227;159881;201042;255083
ARR1852408;SurendranagarDudhrej;24;8;71.632125;22.732235;0;0;U;M;92448;138463;156205;219585;253582
ARR1863321;Kumbakonam;33;21;79.379228;10.965104;0;0;U;M;91529;194664;219441;233649;252332
ARR1871010;Katihar;10;10;87.5768;25.5306;0;1;U;M;79783;147173;170100;213105;252310
ARR1881017;Chapra;10;17;84.7541;25.7806;0;0;U;M;92651;149621;162077;215739;252231
ARR189807;Bharatpur;8;7;77.503479;27.218225;0;1;R;M;55143;149036;156880;205235;252109
ARR1901910;Ranaghat;19;10;88.571006;23.172585;0;0;U;M;180091;206755;225533;224526;251166
ARR191309;Khanna;3;9;76.2262;30.7029;0;0;U;M;76387;115961;141862;199066;250333
ARR1921915;Haldia;19;15;88.135184;22.076559;0;0;U;M;78172;107603;137659;211644;248888
ARR193904;Sambhal;9;4;78.5725;28.5858;0;0;U;M;92846;120607;165841;202887;247596
ARR1942714;Yavatmal;27;14;78.1346;20.391;0;1;U;M;85718;137174;158918;209625;244925
ARR1951907;Lalgola;19;7;88.2522;24.4219;0;0;R;R;69351;122049;131930;196932;241384
ARR196911;Bulandshahr;9;11;77.8616;28.4033;0;1;U;M;70026;112650;138337;190253;241371
ARR1971904;Raiganj;19;4;88.1307;25.6276;0;0;U;M;123695;185387;197303;214224;238824
ARR1983210;ErumeliSouth;32;10;76.84262269;9.465310982;0;0;R;R;109904;160582;169784;229609;238573
ARR1992314;Rewa;23;14;81.3021;24.5436;0;1;U;M.CORP;73257;122279;133812;188957;238411
ARR2002812;Vizianagaram;28;12;83.41302;18.116039;0;1;U;M;117868;182056;196388;199967;238174
ARR201513;Roorkee;5;13;77.885438;29.876732;0;0;U;M;76865;109478;119589;180684;237503
ARR2021910;Santipur;19;10;88.436948;23.246231;0;0;U;M;78284;147317;169618;212546;234512
ARR203969;Mirzapur-cum-Vindhyachal;9;69;82.565347;25.143583;0;0;U;M;124088;156810;178450;218208;233691
ARR2042416;Nadiad;24;16;72.860462;22.693164;0;1;U;M;112782;171610;183136;210583;232985
ARR2052906;Raichur;29;6;77.3568;16.2079;0;1;U;M.CORP;79848;124762;170577;207421;232456
ARR2062924;Ullal;29;24;74.8609;12.8183;0;0;U;TP;84386;141412;166965;203959;231867
ARR2072406;Gandhinagar;24;6;72.654695;23.232955;1;1;R;R;114490;132976;137378;214955;231796
ARR2083318;Cuddalore;33;18;79.766295;11.751832;0;1;U;M;96457;160691;183955;203493;231496
ARR2091902;Jalpaiguri;19;2;88.7193;26.5318;0;1;U;M;100633;150482;175816;211805;231250
ARR2102818;Ongole;28;18;80.0499;15.502;0;0;U;M;79660;141713;148757;178007;230951
ARR211801;Ganganagar;8;1;73.885747;29.915199;0;1;U;M;107589;128190;166167;228370;230846
ARR212820;Pali;8;20;73.3210313;25.77786687;0;0;U;M.CORP;85266;127263;136842;187641;229956
ARR2132731;Satara;27;31;74.0061;17.6905;0;1;U;M;84441;149820;170159;187620;229869
ARR2143211;Alappuzha;32;4;76.31667;9.5;0;1;U;CT;138900;169900;264900;282700;229742
ARR2152803;Ramagundam;28;3;79.510641;18.750788;0;0;U;M;118854;212240;214384;236600;229632
ARR2162818;Chirala;28;18;80.360945;15.83294;0;0;U;M;87706;204316;230985;213142;223563
ARR2172338;Murwara;23;38;80.394561;23.837353;0;1;U;M.CORP;100918;155259;163431;187029;221875
ARR2182103;Sambalpur;21;3;83.9729;21.4623;0;1;U;M;84655;148797;160381;188953;221603
ARR2202118;Puri;21;18;85.822548;19.806772;0;1;U;M;72690;127288;135336;170819;218691
ARR2212905;Bidar;29;5;77.524881;17.914678;0;1;U;M.CORP;77308;128701;135380;177533;215567
ARR222950;Bahraich;9;50;81.596598;27.572274;0;1;U;M;89869;139245;149066;187119;213993
ARR223906;Amroha;9;6;78.468;28.9046;0;0;U;M;87335;117031;145898;177117;213118
ARR2242421;Bharuch;24;21;72.9953;21.7078;0;1;U;M;96726;136265;150761;187895;212819
ARR2252703;Bhusawal;27;3;75.782585;21.043508;0;0;U;M;102919;145133;168513;196012;211604
ARR2262329;Burhanpur;23;29;76.231269;21.312882;0;0;U;M.CORP;62895;165514;172710;193725;210891
ARR43401910;Krishnanagar;19;10;88.4891;23.4023;0;0;R;M;78441;143522;159723;189421;209928
ARR2282727;Bid;27;27;75.758035;18.991717;0;1;U;M;64372;98414;130661;170527;208435
ARR2292004;Hazaribag;20;4;85.3634;23.992;0;1;U;M;74040;111784;129201;173840;206995
ARR2302912;Hospet;29;12;76.3879;15.2722;0;0;U;M.CORP;66904;115351;134799;164240;206159
ARR231511;Haldwani-cum-Kathgodam;5;11;79.5298;29.2191;0;0;U;M;82380;125745;129196;185210;206057
ARR2322012;Katras;20;12;86.2891;23.8156;0;0;U;CT;67159;101311;127034;161702;205831
ARR2331001;Bettiah;10;1;84.501789;26.806244;0;0;U;M;74340;112991;123308;170309;205248
ARR2342708;Wardha;27;8;78.598719;20.741342;0;1;U;M;85187;124649;142842;169434;204751
ARR2351918;Ganespur;19;18;88.188438;21.870148;0;0;R;R;71758;105149;113310;173210;204705
ARR2362409;Morvi;24;9;70.83156;22.81264;0;0;U;M;48570;127462;132730;195066;204509
ARR2372007;Deoghar;20;7;86.698811;24.49191;0;1;U;M;38293;69415;78032;100485;203116
ARR2381810;Nagaon;18;10;92.678105;26.350167;0;1;U;M;50710;119187;146213;177805;201172
ARR239923;Lakhimpur;9;23;80.779135;27.949279;0;1;U;M;34295;76538;97166;151284;201079
ARR2402821;Nandyal;28;21;78.476919;15.476903;0;0;U;M;72337;114820;119813;157120;200746
ARR2412329;Khandwa;23;29;76.3483;21.8217;0;0;U;M.CORP;92377;137876;145133;172242;200681
ARR2422411;Porbandar;24;11;69.613601;21.642495;0;1;U;M;138536;177146;186195;197382;199835
ARR243928;RaeBareli;9;28;81.239205;26.220475;0;1;U;M;69314;132024;134130;174863;197955
ARR244613;Bhiwani;6;13;76.1386;28.7929;0;1;U;M;85506;115548;121629;169531;197662
ARR2452303;Bhind;23;3;78.7862;26.565;0;1;U;M;70902;104267;109755;153752;197332
ARR2461915;Medinipur;19;15;87.327109;22.42751;0;0;U;M;90987;133563;146089;171519;196879
ARR2472820;Proddatur;28;20;78.5524;14.7543;0;0;U;M;82202;154623;184274;179357;196875
ARR2482810;Khammam;28;10;80.145336;17.254834;0;1;U;M;83320;148757;155534;206920;195549
ARR2491918;Magrahat;19;18;88.378979;22.238481;0;0;U;CT;78560;137114;145677;163306;195322
ARR250301;Pathankot;3;1;75.6525;32.2726;0;0;U;M;76769;124095;143995;209690;195306
ARR2512817;Tenali;28;17;80.647166;16.239976;0;0;U;M;46707;141469;169189;180667;194866
ARR252942;Fatehpur;9;42;80.81368;25.928189;0;1;U;M;50049;100097;117675;152078;193801
