Idreg,REG,pays,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,Urb1959,Urb1970,Urb1979,Urb1989,Urb2002,Urb2010,1959,1970,1979,1989,2002,2010,TURB0,TURB11,TURB20,TURB30,TURB43,TURB51
RUS25,Kemerovo,Russie,2786,2918,2958,3171,2899,2763,1965.633,2247.232,2403.905,2644.954,2385.489,2289.594,70.6,77,81.3,83.4,82.3,82.9,69.4182965701,80.4182965701,89.4182965701,99.4182965701,112.4182965701,120.4182965701
RUS26,Khabarovsk,Russie,1143,1346,1566,1598,1627,1520,668.998,871.504,1063.092,1254.328,1157.146,1107.833,58.6,64.8,67.9,78.5,71.1,72.9,34.2525653019,45.2525653019,54.2525653019,64.2525653019,77.2525653019,85.2525653019
RUS28,Kirov,Russie,1916,1727,1662,1694,1504,1341,530.808,671.727,772.659,873.289,818.999,772.456,27.7,38.9,46.5,51.6,54.5,57.6,-32.7879394008,-21.7879394008,-12.7879394008,-2.7879394008,10.2120605992,18.2120605992
RUS29,Komi,Russie,806,965,1118,1251,1019,901,288.075,441.401,592.16,756.597,657.149,608.33,35.7,45.8,52.9,60.5,64.5,67.5,-18.3264789917,-7.3264789917,1.6735210083,11.6735210083,24.6735210083,32.6735210083
RUS30,Kostroma,Russie,920,871,804,804,737,668,275.9,358.027,405.986,442.729,427.392,405.021,30,41.1,50.5,55,58,60.7,-27.028300575,-16.028300575,-7.028300575,2.971699425,15.971699425,23.971699425
RUS31,Kourgan,Russie,999,1086,1080,1104,1020,911,279.6,403.2,482.9,543.4,517.688,496.495,28,37.1,44.7,49.2,50.8,54.5,-38.0466848462,-27.0466848462,-18.0466848462,-8.0466848462,4.9533151538,12.9533151538
RUS32,Koursk,Russie,1483,1474,1399,1335,1235,1127,262,387.2,542.2,632.2,629.112,620.067,17.7,26.3,38.8,47.3,50.9,55,-40.3442253336,-29.3442253336,-20.3442253336,-10.3442253336,2.6557746664,10.6557746664
RUS33,Krasnodar,Russie,3762,4510,4815,4621,5572,5667,1454.682,2016.848,2366.098,2647.966,2853.691,2937.728,38.7,44.7,49.1,57.3,51.2,51.8,-30.520028553,-19.520028553,-10.520028553,-0.520028553,12.479971447,20.479971447
RUS34,Krasnoyarsk,Russie,2615,2962,3198,3605,3512,3361,1069.901,1569.573,2056.37,2458.173,2388.322,2344.609,40.9,53,64.3,68.2,68,69.8,-6.3010808145,4.6989191855,13.6989191855,23.6989191855,36.6989191855,44.6989191855
RUS357,Saint-PétersbourgX2,Russie,4566,5385,6088,6644,6330,6596,3677,4573,5327,5903,5594,5823,80.5,84.9,87.5,88.8,88.4,88.3,118.428588523,129.428588523,138.428588523,148.428588523,161.428588523,169.428588523
